Date,Open,High,Low,Close,Adj Close,Volume
2007-08-10,29883.169921875,29883.169921875,28868.220703125,29420.470703125,29420.470703125,165978900
2007-08-13,29449.55078125,29884.640625,29449.55078125,29607.19921875,29607.19921875,102825200
2007-08-14,29638.580078125,29748.060546875,28847.9296875,28895.73046875,28895.73046875,111142300
2007-08-15,28885.830078125,29030.30078125,27987.310546875,28140.73046875,28140.73046875,154231300
2007-08-16,28137.23046875,28137.23046875,26445.83984375,27793.16015625,27793.16015625,259586700
2007-08-17,27859.740234375,28783.7890625,27859.740234375,28510.66015625,28510.66015625,217556300
2007-08-20,28511.919921875,28749.259765625,28241.7109375,28453.55078125,28453.55078125,99913000
2007-08-21,28453.55078125,28724.2109375,28241.44921875,28568.4296875,28568.4296875,99531800
2007-08-22,28568.4296875,29269.6796875,28568.4296875,29269.33984375,29269.33984375,124979000
2007-08-23,29270.109375,29609.810546875,29270.109375,29459.8203125,29459.8203125,122398900
2007-08-24,29457.330078125,30102.3203125,29445.08984375,30041.5390625,30041.5390625,152736900
2007-08-27,30050.4609375,30278.5,29868.150390625,30275.83984375,30275.83984375,84798200
2007-08-28,30264.19921875,30264.19921875,29240.7890625,29326.759765625,29326.759765625,150259000
2007-08-29,29376.640625,29732.759765625,29286.0,29710.779296875,29710.779296875,114861200
2007-08-30,29710.779296875,29970.48046875,29488.470703125,29744.0703125,29744.0703125,120369400
2007-08-31,29749.390625,30347.859375,29749.390625,30347.859375,30347.859375,138088300
2007-09-03,30347.859375,30799.130859375,30347.859375,30797.599609375,30797.599609375,36499000
2007-09-04,30802.58984375,31015.76953125,30587.390625,30932.7109375,30932.7109375,162376100
2007-09-05,30903.609375,30903.609375,30635.529296875,30809.55078125,30809.55078125,95805400
2007-09-06,30809.55078125,30977.150390625,30757.01953125,30816.94921875,30816.94921875,90418000
2007-09-07,30816.19921875,30816.19921875,30064.140625,30252.76953125,30252.76953125,110884600
2007-09-10,30252.76953125,30265.5390625,29683.259765625,29893.1796875,29893.1796875,94633800
2007-09-11,29893.1796875,30307.359375,29892.439453125,30191.140625,30191.140625,110137700
2007-09-12,30191.140625,30317.5,30025.619140625,30076.330078125,30076.330078125,91296200
2007-09-13,30076.330078125,30513.48046875,30063.779296875,30302.23046875,30302.23046875,97280400
2007-09-14,30291.509765625,30389.01953125,30091.490234375,30096.029296875,30096.029296875,87969400
2007-09-17,30080.419921875,30222.130859375,29573.58984375,29794.490234375,29794.490234375,79726600
2007-09-18,29795.869140625,30741.44921875,29795.869140625,30603.419921875,30603.419921875,186831600
2007-09-19,30607.099609375,31090.48046875,30512.640625,30512.640625,30512.640625,204986700
2007-09-20,30512.640625,30697.26953125,30248.91015625,30485.75,30485.75,106047900
2007-09-21,30485.75,30722.939453125,30356.580078125,30583.0703125,30583.0703125,121562700
2007-09-24,30585.599609375,30753.880859375,30417.69921875,30543.44921875,30543.44921875,96493600
2007-09-25,30539.619140625,30539.619140625,30269.919921875,30294.76953125,30294.76953125,111282700
2007-09-26,30305.900390625,30524.619140625,30175.349609375,30303.1796875,30303.1796875,142272100
2007-09-27,30303.1796875,30591.33984375,30303.1796875,30528.0,30528.0,137181400
2007-09-28,30528.0,30551.990234375,30248.150390625,30296.189453125,30296.189453125,134169600
2007-10-01,30298.41015625,30887.73046875,30266.58984375,30855.6796875,30855.6796875,126508100
2007-10-02,30864.859375,31531.849609375,30864.859375,31451.7890625,31451.7890625,216543100
2007-10-03,31427.3203125,31588.759765625,31177.490234375,31178.83984375,31178.83984375,158740800
2007-10-04,31178.83984375,31369.169921875,30833.5,31078.330078125,31078.330078125,158142400
2007-10-05,31078.330078125,31708.140625,31078.330078125,31540.939453125,31540.939453125,138860400
2007-10-08,31530.23046875,31828.890625,31422.669921875,31825.509765625,31825.509765625,103456500
2007-10-09,31825.98046875,32096.720703125,31758.919921875,31801.689453125,31801.689453125,135631900
2007-10-10,31886.25,32238.880859375,31881.48046875,32129.400390625,32129.400390625,187619900
2007-10-11,32129.400390625,32757.259765625,31867.369140625,31980.94921875,31980.94921875,249969900
2007-10-12,31991.73046875,32501.990234375,31991.73046875,32473.470703125,32473.470703125,125891200
2007-10-15,32473.470703125,32654.7109375,32217.25,32335.859375,32335.859375,117585300
2007-10-16,32335.859375,32335.859375,31973.189453125,32230.8203125,32230.8203125,113380500
2007-10-17,32232.419921875,32721.8203125,32232.419921875,32721.8203125,32721.8203125,141438700
2007-10-18,32721.720703125,32851.140625,32523.8203125,32836.12109375,32836.12109375,136513900
2007-10-19,32836.12109375,32836.12109375,31814.439453125,31823.400390625,31823.400390625,160447100
2007-10-22,31817.33984375,31976.009765625,31378.259765625,31969.48046875,31969.48046875,97478200
2007-10-23,31969.48046875,32386.1796875,31969.48046875,32229.439453125,32229.439453125,115284100
2007-10-24,32232.189453125,32232.189453125,31660.9296875,32048.1796875,32048.1796875,136789500
2007-10-25,32050.48046875,32087.1796875,31557.380859375,31886.099609375,31886.099609375,175930100
2007-10-26,31896.150390625,32150.849609375,31781.73046875,32136.759765625,32136.759765625,143574600
2007-10-29,32137.169921875,32419.169921875,32027.919921875,32100.759765625,32100.759765625,89089600
2007-10-30,31965.1796875,31965.1796875,31634.599609375,31783.619140625,31783.619140625,96602600
2007-10-31,31787.0,31791.869140625,31413.220703125,31458.669921875,31458.669921875,163963200
2007-11-01,31411.98046875,31411.98046875,30743.890625,30806.30078125,30806.30078125,120008600
2007-11-05,30806.30078125,30815.2109375,29832.9609375,30157.689453125,30157.689453125,163035700
2007-11-06,30163.810546875,30499.849609375,30158.01953125,30430.5,30430.5,145394700
2007-11-07,30428.55078125,30428.55078125,29574.0703125,29582.2109375,29582.2109375,126476100
2007-11-08,29586.759765625,29834.330078125,28813.509765625,29289.720703125,29289.720703125,197755700
2007-11-09,29287.880859375,29299.669921875,28790.140625,29158.859375,29158.859375,176494300
